,1066
USA,629
China,483
Italy,180
India,126
UK,119
Australia,113
Canada,113
Germany,95
Turkey,73
Thailand,69
Taiwan,59
Iran,50
Malaysia,48
Japan,43
France,42
Uruguay,39
Brazil,38
Slovenia,33
Belgium,32
Austria,30
Romania,28
Sweden,28
South Korea,26
Singapore,25
Poland,23
Denmark,22
Ecuador,21
Portugal,20
Saudi Arabia,19
Czech Republic,18
Greece,17
Croatia,16
Netherlands,16
Spain,14
Morocco,13
Tunisia,10
Ireland,10
Finland,10
Colombia,10
Russia,8
South Africa,8
Switzerland,8
Indonesia,8
Mexico,7
Qatar,7
Bangladesh,6
,6
Pakistan,6
Hungary,6
Cyprus,6
Serbia,6
Norway,5
Vietnam,5
United Arab Emirates,5
Nepal,5
New Zealand,4
Bulgaria,4
Ukraine,3
Iceland,3
Zambia,3
Egypt,3
Latvia,3
Sri Lanka,3
Monaco,3
Nigeria,2
Bahrain,2
Georgia,2
Estonia,2
Chile,2
Jordan,2
Macedonia,2
Korea (South),2
Mauritius,2
Puerto Rico,1
Honduras,1
Luxembourg,1
Philippines,1
Israel,1
Iraq,1
Ghana,1
Malta,1
Panama,1
Bosnia-Herzegovina,1
