United States,3074
China,2806
Germany,589
Canada,528
,490
United Kingdom,483
India,468
Italy,467
Australia,392
Japan,363
Brazil,362
Korea,282
Iran,273
Spain,209
Netherlands,195
Denmark,194
France,188
Portugal,178
Hong Kong,174
Singapore,163
Taiwan,146
Sweden,128
Austria,116
Switzerland,113
Belgium,94
Finland,93
Malaysia,92
Pakistan,83
Turkey,81
Georgia,80
Greece,78
Romania,74
United Arab Emirates,64
Thailand,63
Norway,60
Colombia,57
New Zealand,55
Saudi Arabia,54
Russia,54
Mexico,53
Ireland,42
Egypt,40
South Africa,40
Morocco,35
Tunisia,34
Czech Republic,32
Argentina,30
Ecuador,28
Bangladesh,26
Qatar,25
Israel,24
Uruguay,23
Chile,23
Slovenia,23
Poland,20
Hungary,18
Croatia,14
Serbia,13
Russian Federation,13
Jersey,12
Sri Lanka,12
Macedonia,11
Mongolia,9
Oman,8
Niger,8
Latvia,7
Indonesia,6
Lebanon,6
Bulgaria,6
Algeria,6
Cyprus,6
Paraguay,5
Trinidad and Tobago,5
Philippines,5
Puerto Rico,4
Estonia,4
Jordan,4
Ukraine,3
Malta,3
Kazakhstan,3
Rwanda,2
Peru,2
Lithuania,2
Macao,2
Cuba,2
Libya,1
Iceland,1
Kuwait,1
Luxembourg,1
Bosnia and Herzegovina,1
Brunei Darussalam,1
